Payee,Amount,Date,Mode,Reference,UTR,Note
SV,350000,05/01/2026,Cash,,,Plan sanction - initial payment (online to be processed)
Geofrontier,25000,,,,,Soil test report (POC Ratan Sir)
BBMP,15000,,,,,E-Khata (POC Ratan Sir)
SV,500000,,Cash,,,Plan sanction
SV,100000,,Cash,,,Plan sanction
BBMP,10480,05/03/2026,,,,Sanction official fees
BBMP,1392395,02/04/2026,,,,Sanction official fees
BBMP,167791,01/04/2026,,,,Sanction official fees
Arun,260000,,,,,Borewell & cleaning
Arun,100000,,,,,Trees - 2 trimmed inside site (advance 50000)
BBMP,2048,05/03/2026,,,,Plan approval charges official
BESCOM,43252,19/04/2026,,,,Temp EB connection
Temp EB Materials,10400,06/05/2026,,,,Temp EB electrical materials
Arun,1000000,02/06/2026,,,,Construction advance
SV,1000000,02/06/2026,,,,Steel reimbursement - JSW 9.81L (balance pending 18086)
Arun,9500,04/06/2026,,,,Solar CCTV for site
Google Workspace,860,02/07/2026,,,,Yearly subscription
Vineet Mundhra,18000,03/07/2026,,,,ROC - payment towards GST and TM
Vineet Mundhra,36000,06/07/2026,,,,ROC - payment towards GST and TM
Rishav Sharma,17100,14/07/2026,,,,Monitor reimbursement
Arun,300000,20/07/2026,,,,Construction payment (Auctus Infra)
Arun,1200000,21/07/2026,,,,Construction payment (Auctus Infra)
